OriginalPaperPubMedID,ControlPaperPubMedID,PMCID,XMLLINK,journal_nlm_ta,article_type,title,publication_year,first_author_given_names,first_author_surname
25219970,26695874,PMC4768639,s3://pmc-oa-opendata/PMC4768639.2/PMC4768639.2.xml?md5=8743fc2762e125d2e1054eb8564d74db,Angew Chem Int Ed Engl,research-article,A Multi-RNAi Microsponge Platform for Simultaneous Controlled Delivery of Multiple Small Interfering RNAs,2015,Young Hoon,Roh
27542262,28715877,PMC5542209,s3://pmc-oa-opendata/PMC5542209.1/PMC5542209.1.xml?md5=19a426bd4a5e6ff6001eaa44c46e1a1a,Oncotarget,research-article,Prognostic value of transglutaminase 2 in non-small cell lung cancer patients,2017,Zhu,Chihong
27092877,28874966,PMC5342580,s3://pmc-oa-opendata/PMC5342580.1/PMC5342580.1.xml?md5=5acc92ea928f6f00b943c13a71f98077,Oncotarget,research-article,Characterization of acetate transport in colorectal cancer cells and potential therapeutic implications,2016,Suellen,Ferro
27572308,28657902,PMC5564520,s3://pmc-oa-opendata/PMC5564520.1/PMC5564520.1.xml?md5=0c52104ee2b00cf7a3e302b4703492f7,Oncotarget,research-article,Induction of anti-aging gene klotho with a small chemical compound that demethylates CpG islands,2017,Dongju,Jung
25762632,28087951,PMC5302991,s3://pmc-oa-opendata/PMC5302991.1/PMC5302991.1.xml?md5=c8f8f10ec775e0238f525c8fd1553f55,Oncotarget,research-article,A phase II study of concurrent chemoradiotherapy and erlotinib for inoperable esophageal squamous cell carcinoma,2016,Chuanhua,Zhao
36938448,40196792,PMC11947701,s3://pmc-oa-opendata/PMC11947701.1/PMC11947701.1.xml?md5=4145505465731394ddd925a9118370d0,Heliyon,research-article,Identification of sentence stems characteristic of Chinese learner English writing,2025,Jingjie,Li
33568521,36542694,PMC10317309,s3://pmc-oa-opendata/PMC10317309.1/PMC10317309.1.xml?md5=0b52d683703eba42170a2cf4e38186d5,Sci Transl Med,research-article,Persistent post–COVID-19 smell loss is associated with immune cell infiltration and altered gene expression in olfactory epithelium,2022,John B.,Finlay
27775576,42357575,PMC13304669,s3://pmc-oa-opendata/PMC13304669.1/PMC13304669.1.xml?md5=f1eb2810f72179343e6cf655fce6fa1e,Molecules,research-article,Functional MgAl LDH@SiO2 Composites: Controlled Fluoride Delivery in Dentistry,2026,Asma,Alazreg
32292329,35345836,PMC8957075,s3://pmc-oa-opendata/PMC8957075.1/PMC8957075.1.xml?md5=dbd28a7d8c285ebf19c1d56d4b0ecf30,Front Mol Neurosci,research-article,F-Actin Dysplasia Involved in Organ of Corti Deformity in Gjb2 Knockdown Mouse Model,2022,Xiao-zhou,Liu
26300871,28197126,PMC5281620,s3://pmc-oa-opendata/PMC5281620.1/PMC5281620.1.xml?md5=638e55e7fc33add8d613a02cc21ac45d,Front Microbiol,research-article,Horizontal and Vertical Distributions of Transparent Exopolymer Particles (TEP) in the NW Mediterranean Sea Are Linked to Chlorophyll a and O2 Variability,2017,Eva,Ortega-Retuerta
