feature,mean_difference,median_difference,std_difference,wilcoxon_statistic,p_value,rank_biserial,point_biserial_r,control_mean,control_median,control_std,control_q1,control_q3,control_iqr,control_min,control_max,control_range,control_skewness,control_kurtosis,control_n_outliers,retracted_mean,retracted_median,retracted_std,retracted_q1,retracted_q3,retracted_iqr,retracted_min,retracted_max,retracted_range,retracted_skewness,retracted_kurtosis,retracted_n_outliers,q_value,significant
pos_prop_ADJ,-0.010931921116483233,-0.010473083556132197,0.02183221027082372,59182.0,1.0345348259033114e-33,-0.5257301529424492,-0.3013114181806155,0.0893309197267862,0.08893256348386461,0.0178468456932757,0.07707279717968471,0.10048878183019974,0.02341598465051503,0.0448711366670089,0.1513117754728493,0.1064406388058404,0.39595158625799837,0.23933475128368986,8,0.07839899861030296,0.07637473963324284,0.01675547484948514,0.0665867148201579,0.0879071256394546,0.021320410819296698,0.0450255603617774,0.1434153966393122,0.09838983627753478,0.9343271910386735,1.1816006216775632,15,9.00045298535881e-32,True
pos_prop_NOUN,0.015551491922836471,0.015396036297315507,0.03066676261399334,59500.0,2.110497439298032e-33,0.5231817799343674,0.29666124837706154,0.3087369442075382,0.3097306323953245,0.026933930986561706,0.2919376939637439,0.32682241143762597,0.034884717473882054,0.2061098988295973,0.4126596980255517,0.2065497991959544,-0.2155425560672917,0.36697305845266115,9,0.32428843613037467,0.3258334145203785,0.023009444598243924,0.31034286716088955,0.33939617602985367,0.029053308868964123,0.2316032295271049,0.3880122726276572,0.1564090431005523,-0.5388421038961572,0.735691149800676,12,9.180663860946439e-32,True
duplicate_ngram_chr_fraction_5,0.044807998117692524,0.043322205724824515,0.10249240337586454,64336.0,7.085132835239778e-29,0.48442727720768836,0.2725651907590909,0.15164670331942612,0.13793580979843906,0.07711680351915634,0.0935806651574286,0.19948581620839162,0.10590515105096301,0.0099601593625498,0.4953324881871614,0.4853723288246116,1.0903123712932972,1.7542879287325235,15,0.19645470143711866,0.1923373465827928,0.08111415560710251,0.13551539153631187,0.24209976608365005,0.10658437454733818,0.0374323326771653,0.5043830074173972,0.4669506747402319,0.6007461082334234,0.4222688849280316,13,2.054688522219536e-27,True
duplicate_ngram_chr_fraction_6,0.03736076991243212,0.03800303229966114,0.09177747774328636,66766.0,9.887160745073798e-27,0.464953860825176,0.2545777121911212,0.10890132016508679,0.0940283704764701,0.06795891444480674,0.05834396032602585,0.14681123277948396,0.08846727245345812,0.0031872509960159,0.4391912248792082,0.4360039738831923,1.37814948595352,2.8482632783959074,16,0.1462620900775189,0.13948835127528444,0.07393644328773682,0.0910480228540015,0.1855331223971973,0.0944850995431958,0.01198375084631,0.4553980758055143,0.4434143249592043,0.8420104855395846,0.9764752641207037,20,2.150457462053551e-25,True
duplicate_ngram_chr_fraction_7,0.030234070115695014,0.0276475447134037,0.08240642397668935,71362.0,6.530327974248027e-23,0.4281226584819551,0.23084315500613212,0.08209873838879915,0.06775793545819195,0.06042966855076171,0.03744185604773497,0.11307892981024754,0.07563707376251258,0.0,0.4152225582199806,0.4152225582199806,1.5781449424675345,3.7372046342347627,19,0.11233280850449417,0.10198135986198725,0.06692982270008578,0.06315016863043177,0.14891835940390324,0.08576819077347148,0.0050595873083605,0.4076483502292245,0.40258876292086404,1.044070747346626,1.4881434128942743,22,1.1362770675191567e-21,True
duplicate_ngram_chr_fraction_8,0.024866304649645038,0.0197306008481792,0.07430919276496596,75495.0,9.682492264102819e-20,0.39500182312848847,0.21072949504111796,0.0650524693621683,0.05118131964235395,0.05443775854458695,0.024798415894771747,0.09039363438602002,0.06559521849124827,0.0,0.3903723623866008,0.3903723623866008,1.7419397414035884,4.5859434275367175,21,0.08991877401181333,0.07732717184560745,0.060818798701175326,0.04370603047568373,0.12326798658189561,0.07956195610621189,0.0,0.3703590107832376,0.3703590107832376,1.1728668683851946,1.7804113091470857,20,1.4039613782949089e-18,True
passive_voice_rate,0.04750748009077896,0.04663951150488865,0.13455451764637283,77183.0,2.4474596394174585e-18,0.37971992847527775,0.2282786828029049,0.5151561382505054,0.5204718799765318,0.10492715989882424,0.4468710888610763,0.5892730675839741,0.14240197872289784,0.1197916666666666,0.8,0.6802083333333334,-0.3311003096034701,0.24406959147099805,5,0.5626636183412844,0.5676183702499492,0.09770455770485774,0.5051173656691512,0.6287337662337662,0.12361640056461498,0.2554112554112554,0.8404907975460123,0.5850795421347569,-0.17771489011910313,0.046798672945540076,9,3.0418426947045554e-17,True
duplicate_ngram_chr_fraction_9,0.02110388167168129,0.015773505143942348,0.06821994045101065,78739.0,1.995725537839839e-17,0.3690052129454144,0.1964765306066595,0.0536137917771246,0.0391024642181249,0.04952240751194782,0.0177465787675166,0.07612208856759325,0.05837550980007665,0.0,0.3701418257696642,0.3701418257696642,1.8682200694064202,5.3334257757284576,23,0.07471767344880591,0.0618505335632815,0.055689760354592686,0.0333124412975672,0.10410376645625924,0.07079132515869205,0.0,0.3358946212952799,0.3358946212952799,1.271947894843227,2.0497431188476547,23,2.170351522400825e-16,True
modal_verb_rate,-1.1619618533920837,-1.0566483749854638,3.559254327734121,79848.0,1.137579647976523e-16,-0.36011796242351873,-0.22415453385783013,5.463169391706436,5.0814442628506065,2.6958641528340213,3.4790189397083338,6.923304259411253,3.4442853197029195,0.5381407237992736,23.828756058158323,23.29061533435905,1.297900692106677,3.983638536560143,14,4.301207538314352,3.892132633319339,2.347549608454132,2.6584439805804925,5.5869949114352995,2.928550930854807,0.20631318341242,14.606741573033707,14.400428389621288,1.0786986832217655,1.7031963332478366,20,1.0886637827001107e-15,True
negation_rate,-0.8599900310916111,-0.7706768517873626,2.7401001452596083,79909.5,1.251337681264495e-16,-0.3596251167002576,-0.19662685225934406,3.8580186484585584,3.585514982284548,2.213909333255016,2.172883588280557,5.161387808046485,2.9885042197659284,0.0,13.392857142857142,13.392857142857142,0.8598776398880733,0.910803563877419,13,2.9980286173669466,2.5640750032350574,2.0752235432599977,1.495926275407728,4.049993758794669,2.5540674833869406,0.0,13.10861423220974,13.10861423220974,1.2340866798106072,2.0351893555366267,21,1.0886637827001107e-15,True
