OriginalPaperDOI,OriginalPaperPubMedID,PMCID,XMLLINK,journal_nlm_ta,article_type,title,publication_year,keywords,mesh_terms,first_author_given_names,first_author_surname
10.1002/anie.201406764,25219970,PMC4485617,s3://pmc-oa-opendata/PMC4485617.1/PMC4485617.1.xml?md5=36b4f3b55e45798a9206e35cef5ff0bb,Angew Chem Int Ed Engl,research-article,Adaptive amphiphilic dendrimer based nanoassemblies as robust and versatile siRNA delivery systems,2014,dendrimers | gene silencing | nanocarriers | nonviral vectors | self-assembly,"Dendrimers / chemistry | Gene Silencing / immunology | Humans | RNA, Small Interfering / immunology",Xiaoxuan,Liu
10.18632/oncotarget.11298,27542262,PMC5295444,s3://pmc-oa-opendata/PMC5295444.1/PMC5295444.1.xml?md5=8787efbfb001846bf0fdd42120d14182,Oncotarget,research-article,Elevated eukaryotic elongation factor 2 expression is involved in proliferation and invasion of lung squamous cell carcinoma,2016,eukaryotic elongation factor 2 | invasion | lung squamous cell carcinoma | proliferation | proteomics,"Adult | Aged | Animals | Carcinoma, Squamous Cell / metabolism, pathology | Cell Line, Tumor | Cell Movement | Cell Proliferation | Disease Progression | Eukaryotic Initiation Factor-2 / metabolism | Female | Gene Expression Regulation, Neoplastic | Humans | Lung Neoplasms / metabolism, pathology | Male | Mice | Mice, Nude | Middle Aged | Neoplasm Invasiveness | Neoplasm Recurrence, Local / genetics | Neoplasm Transplantation | Proteomics / methods | Tissue Array Analysis",Yang,Song
10.18632/oncotarget.8739,27092877,PMC5078054,s3://pmc-oa-opendata/PMC5078054.1/PMC5078054.1.xml?md5=759186ac7b2b1058da873e95726f180a,Oncotarget,research-article,QKI5-mediated alternative splicing of the histone variant macroH2A1 regulates gastric carcinogenesis,2016,CCNL1 | QKI5 | alternative splicing | gastric cancer | macroH2A1,"Alternative Splicing | Animals | Cell Line, Tumor | Cell Movement | Cell Proliferation | Cyclins / genetics, metabolism | Female | Heterografts | Histones / genetics, metabolism | Humans | Mice, Inbred BALB C | Mice, Nude | Neoplasm Invasiveness | Neoplasm Staging | Protein Isoforms | RNA Precursors / genetics, metabolism | RNA, Messenger / genetics, metabolism | RNA-Binding Proteins / genetics, metabolism | Stomach Neoplasms / genetics, metabolism, pathology | Time Factors | Transfection | Tumor Burden | Tumor Suppressor Proteins / genetics, metabolism",Feng,Li
10.18632/oncotarget.11631,27572308,PMC5341839,s3://pmc-oa-opendata/PMC5341839.1/PMC5341839.1.xml?md5=2b8ae2008ffa14c13ebc9d9dc952ba87,Oncotarget,research-article,JQ1 suppresses tumor growth via PTEN/PI3K/AKT pathway in endometrial cancer,2016,BRD4 inhibitor | JQ1 | PTEN/PI3K/AKT signal pathway | endometrial cancer | intrinsic resistance,"Apoptosis / drug effects, genetics | Azepines / pharmacology | Cell Line, Tumor | Cell Proliferation / drug effects, genetics | Endometrial Neoplasms / drug therapy, genetics, metabolism | Female | G1 Phase Cell Cycle Checkpoints / drug effects, genetics | Gene Expression Profiling / methods | Gene Expression Regulation, Neoplastic / drug effects | Humans | PTEN Phosphohydrolase / genetics, metabolism | Phosphatidylinositol 3-Kinases / genetics, metabolism | Proto-Oncogene Proteins c-akt / genetics, metabolism | RNA Interference | Signal Transduction / drug effects, genetics | Triazoles / pharmacology | Tumor Burden / drug effects, genetics | Tumor Cells, Cultured | Xenograft Model Antitumor Assays",Haifeng,Qiu
10.18632/oncotarget.3126,25762632,PMC4466659,s3://pmc-oa-opendata/PMC4466659.1/PMC4466659.1.xml?md5=f2810aa50f5335acb15525f2d2f31bc3,Oncotarget,research-article,JQ1 suppresses tumor growth through downregulating LDHA in ovarian cancer*,2015,BRDs inhibitor | c-Myc | metabolism | ovarian cancer | proliferation,"Animals | Antineoplastic Agents / chemistry | Apoptosis | Azepines / chemistry | Cell Cycle / drug effects | Cell Line, Tumor | Cell Proliferation | Female | Gene Expression Regulation, Neoplastic | Humans | Immunohistochemistry | Isoenzymes / biosynthesis | L-Lactate Dehydrogenase / biosynthesis | Lactate Dehydrogenase 5 | Membrane Potential, Mitochondrial | Mice | Necrosis | Neoplasm Metastasis | Neoplasms / drug therapy | Oligonucleotide Array Sequence Analysis | Ovarian Neoplasms / drug therapy | Proto-Oncogene Proteins c-myc / metabolism | RNA Interference | Reactive Oxygen Species / metabolism | Transcriptome | Triazoles / chemistry",Haifeng,Qiu
10.1016/j.heliyon.2023.e14265,36938448,PMC10020002,s3://pmc-oa-opendata/PMC10020002.1/PMC10020002.1.xml?md5=f8339d36d64f95d5a54e246a99b10e7c,Heliyon,research-article,MiR-1281 is involved in depression disorder and the antidepressant effects of Kai-Xin-San by targeting ADCY1 and DVL1,2023,ADCY1 | DVL1 | Depression | Kai-Xin-San | miR-1281,,Chao,Chen
10.1126/scitranslmed.abc6894,33568521,PMC8351376,s3://pmc-oa-opendata/PMC8351376.1/PMC8351376.1.xml?md5=793cc0120340fba790da4b09bf02865e,Sci Transl Med,research-article,Targeted immunotherapy for HER2-low breast cancer with 17p loss,2021,,"Breast Neoplasms / drug therapy, genetics | Cell Line, Tumor | Female | Humans | Immunotherapy | Erb-b2 Receptor Tyrosine Kinases / genetics | Trastuzumab",Yujing,Li
10.3390/molecules21101392,27775576,PMC6273331,s3://pmc-oa-opendata/PMC6273331.1/PMC6273331.1.xml?md5=b26d8c9a12b10e2cc3c6b6d05ecc6013,Molecules,research-article,RETRACTED: Application of Super-Amphiphilic Silica-Nanogel Composites for Fast Removal of Water Pollutants,2026,adsorption | composites | nanogel | silica | water purification,"Acrylic Resins / chemistry | Adsorption | Metals, Heavy / chemistry | Methylene Blue / chemistry | Microscopy, Electron, Scanning | Nanogels | Polyethylene Glycols / chemistry | Polyethyleneimine / chemistry | Silicon Dioxide / chemistry | Water Pollutants, Chemical / chemistry | Water Purification / methods | Polyacrylamides",Ayman M.,Atta
10.3389/fnmol.2020.00033,32292329,PMC7121334,s3://pmc-oa-opendata/PMC7121334.1/PMC7121334.1.xml?md5=34507041324982e46a35175115efc92c,Front Mol Neurosci,research-article,NF-κB Inhibitors Attenuate MCAO Induced Neurodegeneration and Oxidative Stress—A Reprofiling Approach,2020,MCAO stroke | atorvastatin | caeffic acid phenethyl ester | cephalexin | mycophenolate | p-NF-κB | reprofiling,,Awais,Ali
10.3389/fmicb.2015.00807,26300871,PMC4526804,s3://pmc-oa-opendata/PMC4526804.1/PMC4526804.1.xml?md5=e73e9b8a604439beaab648ce980b7cfb,Front Microbiol,research-article,RETRACTED: The two-component system CpxR/A represses the expression of Salmonella virulence genes by affecting the stability of the transcriptional regulator HilD,2015,CpxR/A | HilD | Lon | RpoH | SPI | Salmonella | regulation | virulence,,Miguel A.,De la Cruz
