feature,control_median,retracted_median,median_difference,wilcoxon_statistic,p_value,rank_biserial,q_value,significant
pos_prop_ADJ,0.08893256348386461,0.07637473963324284,-0.010473083556132197,59182.0,1.0345348259033114e-33,-0.5257301529424492,9.00045298535881e-32,True
pos_prop_NOUN,0.3097306323953245,0.3258334145203785,0.015396036297315507,59500.0,2.110497439298032e-33,0.5231817799343674,9.180663860946439e-32,True
duplicate_ngram_chr_fraction_5,0.13793580979843906,0.1923373465827928,0.043322205724824515,64336.0,7.085132835239778e-29,0.48442727720768836,2.054688522219536e-27,True
duplicate_ngram_chr_fraction_6,0.0940283704764701,0.13948835127528444,0.03800303229966114,66766.0,9.887160745073798e-27,0.464953860825176,2.150457462053551e-25,True
duplicate_ngram_chr_fraction_7,0.06775793545819195,0.10198135986198725,0.0276475447134037,71362.0,6.530327974248027e-23,0.4281226584819551,1.1362770675191567e-21,True
duplicate_ngram_chr_fraction_8,0.05118131964235395,0.07732717184560745,0.0197306008481792,75495.0,9.682492264102819e-20,0.39500182312848847,1.4039613782949089e-18,True
passive_voice_rate,0.5204718799765318,0.5676183702499492,0.04663951150488865,77183.0,2.4474596394174585e-18,0.37971992847527775,3.0418426947045554e-17,True
duplicate_ngram_chr_fraction_9,0.0391024642181249,0.0618505335632815,0.015773505143942348,78739.0,1.995725537839839e-17,0.3690052129454144,2.170351522400825e-16,True
modal_verb_rate,5.0814442628506065,3.892132633319339,-1.0566483749854638,79848.0,1.137579647976523e-16,-0.36011796242351873,1.0886637827001107e-15,True
negation_rate,3.585514982284548,2.5640750032350574,-0.7706768517873626,79909.5,1.251337681264495e-16,-0.3596251167002576,1.0886637827001107e-15,True
duplicate_ngram_chr_fraction_10,0.03156219366479135,0.05177388005777815,0.013116010513774399,79190.0,4.480781611157483e-16,0.35447320154880785,3.543890910642736e-15,True
pos_prop_DET,0.06695211860047776,0.05994910871541875,-0.0061895360152017555,81457.0,1.320621713597174e-15,-0.34722383610275237,9.574507423579512e-15,True
acronym_density,61.87541569534075,74.78001455251031,12.250504764894774,82618.0,7.339645838832875e-15,0.33791987049777417,4.911916830603539e-14,True
n_acronym_mentions,236.5,310.0,53.5,85124.0,3.6883629268179333e-13,0.3159021959697024,2.292054104522573e-12,True
n_unique_acronyms,60.5,77.0,12.0,85449.5,1.0230606056152867e-11,0.2974434025479644,5.933751512568662e-11,True
pos_prop_PRON,0.00993320585868765,0.0090661457485997,-0.0010558581331163,90285.0,1.9635222154784884e-10,-0.2764784369978883,1.067665204666428e-09,True
pos_prop_CCONJ,0.0348594793473353,0.037202019042504794,0.0025107961391384014,90612.0,2.9034915595770407e-10,0.27385794022542687,1.4859045040188384e-09,True
mltd,82.58199877421671,78.1191240121515,-3.754453624247539,93757.0,1.042335681439136e-08,-0.24865469145052915,5.0379557936224914e-08,True
proportion_unique_tokens,0.271660751891851,0.2574908933259991,-0.011314128608838597,94150.0,1.5933531720935243e-08,-0.24550528707261665,7.295880314322979e-08,True
second_order_coherence,0.6695915027863455,0.6600539660442006,-0.008731782465829785,95514.0,6.679680464856229e-08,-0.23457452989329686,2.90566100221246e-07,True
ratio_defined_acronyms,0.0476190476190476,0.04,-0.00867260590770525,93284.0,1.32371153301758e-07,-0.2308250465871799,5.483947779644259e-07,True
first_order_coherence,0.6987551626549382,0.6889947059468593,-0.00810008813838542,96356.0,1.5691233444485126e-07,-0.22782695104799838,6.205169589410027e-07,True
pos_prop_VERB,0.0773843308689379,0.08005734866005525,0.0029087101786979506,97173.0,3.514252415938709e-07,0.2212797159926434,1.329304174724642e-06,True
lix,62.05228684701548,60.925670229357436,-0.8551844413341243,97401.0,4.3838033405601294e-07,-0.21945258062835826,1.5255635625149251e-06,True
pos_prop_ADV,0.02232680252934225,0.020988688026357748,-0.0013551222289120007,97382.0,4.3040564438735667e-07,-0.21960484190871532,1.5255635625149251e-06,True
segmented_ttr,0.8001733974098496,0.7934104773379287,-0.005536140765689479,97549.0,5.055692022875138e-07,-0.21826654539189244,1.691712330731296e-06,True
rix,9.434481132075472,9.09378652123101,-0.311951224627129,98107.0,8.599159083151549e-07,-0.21379487200035263,2.770840149015499e-06,True
pos_prop_PART,0.0153099673624399,0.0141764126533407,-0.0010233053064654012,98482.0,1.221745945816429e-06,-0.21078971515119949,3.7961391887867617e-06,True
hdd,0.8705252303030323,0.8668394964541978,-0.0044291996320415805,98646.0,1.4225066450200175e-06,-0.20947545988916977,4.267519935060053e-06,True
polarity,0.06434177951261524,0.05578576711710325,-0.006748394067034105,99215.0,2.3950951366458833e-06,-0.20491563523005474,6.945775896273061e-06,True
automated_readability_index,18.47517824779903,17.956507538985402,-0.511751809031832,99303.0,2.593610985957124e-06,-0.20421042508945347,7.278843734782896e-06,True
top_ngram_chr_fraction_4,0.0056881634432595,0.0069179930317878995,0.0009180920490971499,101089.0,1.2358351081115947e-05,0.18989786473588682,3.359926700178398e-05,True
sentence_length_median,23.0,23.0,-1.0,83980.5,1.4944645521656364e-05,-0.19628578674616354,3.939952001163951e-05,True
n_sentences,159.0,181.0,12.0,100269.5,4.640890810024769e-05,0.17795376940451152,0.00011875220602122202,True
pos_prop_NUM,0.03976468131915725,0.0373546524399644,-0.0027372949900627518,102993.0,5.821296123791054e-05,-0.17463968169378652,0.0001447007893628062,True
sentence_length_mean,27.246399176954732,26.396533044420366,-0.7024852981614291,104396.0,0.0001691471134516141,-0.1633963882021549,0.00040877219084140074,True
mean_word_length,4.891508201687498,4.853843042104584,-0.045896351028252624,104564.0,0.0001913735366894598,-0.16205007793373433,0.0004499864241076487,True
top_ngram_chr_fraction_3,0.0073341083219029,0.008703720666599149,0.0008594625214777,105174.0,0.00029733141587713337,0.15716168945911185,0.0006807324521397527,True
pos_prop_PUNCT,0.1411907078614688,0.14427735072126968,0.0035296387612131913,105708.0,0.0004330008395573405,0.15288234610591772,0.0009659249497817595,True
coleman_liau_index,15.823318874766832,15.593638119669226,-0.3200193492834451,106078.0,0.000558815065934002,-0.14991725801475336,0.0012154227684064544,True
first_person_singular_rate,0.12038158215553549,0.12684600552276404,0.0,56669.0,0.0009911799313420209,-0.16651591031099938,0.002103235464067215,True
sentence_length_std,16.355521982179496,15.436670533000065,-0.7027551169848163,107525.0,0.0014529101506328501,-0.13832135945282104,0.003009599597739475,True
number_rate,49.022678349525734,47.087617171490024,-2.5076171733055794,108070.0,0.0020465478243119595,-0.1339538648320518,0.004140689784073034,True
