PMCID,pair_id,isFraud,first_order_coherence,second_order_coherence,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,entropy,perplexity,per_word_perplexity,pos_prop_ADJ,pos_prop_ADP,pos_prop_ADV,pos_prop_AUX,pos_prop_CCONJ,pos_prop_DET,pos_prop_INTJ,pos_prop_NOUN,pos_prop_NUM,pos_prop_PART,pos_prop_PRON,pos_prop_PROPN,pos_prop_PUNCT,pos_prop_SCONJ,pos_prop_SYM,pos_prop_VERB,pos_prop_X,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,segmented_ttr,mltd,hdd,modal_verb_rate,passive_voice_rate,negation_rate,first_person_singular_rate,first_person_plural_rate,number_rate,n_acronym_mentions,n_unique_acronyms,n_defined_acronyms,acronym_density,ratio_defined_acronyms,n_citations,citation_density,polarity,subjectivity,n_words
PMC6195372,0,True,0.695111902265609,0.6650322770616811,45.661235896463495,12.48716001390601,14.22651938385371,15.711488258904588,15.0488243102304,14.364288107202682,55.27537056350937,7.377358490566038,3.2856142903433616,0.8994069419417953,0.3678289224058963,0.059090981079598,5.353433835845896,5.0,3.212576172281014,22.52830188679245,21.0,12.03757812242639,1.6348408710217754,1.0,0.9601745635213486,3582,1015,0.2833612506979341,19863,159,103.3090042067692,7.354115695156697e+44,1.7226787760966731e+41,0.0651206371515577,0.0953384867650503,0.0192082454907472,0.0414617006324666,0.0407589599437807,0.0449754040758959,0.0002342468962286,0.3513703443429374,0.0452096509721246,0.0128835792925743,0.0114780979152026,0.0133520730850316,0.1539002108222066,0.0086671351604591,0.0014054813773717,0.0932302646989927,0.0014054813773717,True,1178.0,0.79386273131881,4.652846099789178,4269.0,0.0002791736460078,0.0,0.0,0.0,0.0,0.0,0.139221045439016,0.0965579091219678,0.0670908780321147,0.0483003074820635,0.0333959685685001,0.0272036214554151,0.0018790570550051,0.008455756747523,0.0071745814827468,0.0252986647926914,0.8083838097933768,89.3482638196814,0.8713200247631423,2.949852507374631,0.5471698113207547,2.622091117666339,0.3277613897082924,9.50508030154048,59.9803343166175,265,74,1,86.85676827269748,0.0135135135135135,69,22.61553588987217,0.0580108375420875,0.4621919342231841,3051
PMC5788666,1,True,0.6547059214971809,0.6162046012809363,32.07126346857336,13.644397572331226,15.039558378682266,16.713302294645825,16.232396940472235,17.49724536082474,55.7420186232125,7.076612903225806,3.0556559662408125,0.8768790505778585,0.3672185985814877,0.0683641269643484,5.92020618556701,5.0,4.151564598712313,19.556451612903224,17.0,10.315039458085083,1.831134020618557,1.0,1.2354471424679765,4850,1259,0.2595876288659793,29573,248,141.01419650697267,1.744566035269576e+61,3.0568880940416613e+57,0.0732433853162782,0.1137199929910636,0.0206763623620115,0.0429297354126511,0.0329420010513404,0.0529174697739618,0.0,0.3413352023830384,0.0294375328543893,0.0145435430173471,0.0073593832135973,0.0229542666900297,0.1445593131242334,0.0059575959348168,0.0001752234098475,0.0919922901699667,0.0052567022954266,False,1685.0,0.8216225687751884,5.181881899421763,5707.0,0.0006181743251596,0.0,0.0,0.0,0.0,0.0,0.236391143696721,0.1997032381949899,0.1691251345611125,0.145646038811789,0.1373541648482732,0.1251345611125658,0.0024439207471414,0.0079427424282098,0.0074190451252509,0.0329420010513404,0.7916111573688592,80.08256161013037,0.8692587158119341,5.097087378640777,0.625,0.7281553398058253,0.2427184466019417,7.281553398058253,32.76699029126213,434,102,2,105.33980582524272,0.0196078431372549,48,11.650485436893204,0.045976760965133,0.4297385314943457,4120
PMC5288225,2,True,0.6720932170071385,0.6454561661518119,39.19730892354423,14.244652348279462,15.67949142891041,17.822239424998426,18.25865355990559,16.39518814470434,60.68228750627057,9.015094339622642,3.4235330573886187,1.140157510222273,0.3643571138412445,0.0578380291107685,5.669184948423652,5.0,5.042889334352281,25.973584905660378,22.0,15.373932249389837,1.6699113758535522,1.0,1.1865167398059708,6883,1720,0.249891035885515,40048,265,199.31156974193448,3.630069319758202e+86,4.596188047300838e+82,0.071663712332236,0.1063560395036718,0.0262091668776905,0.0382375284882248,0.0341858698404659,0.079260572296784,0.0,0.3416054697391745,0.0331729551785262,0.0154469485945809,0.0087363889592301,0.0227905798936439,0.1226892884274499,0.0093694606229425,0.0012661433274246,0.0859711319321347,0.0030387439858191,False,2487.0,0.8423651557356293,5.070650797670297,7898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681432932687175,0.1208129630024978,0.094319079438953,0.0676117076919792,0.0536068828590337,0.0424414508656945,0.0099912469844794,0.0170363570376379,0.0138340342862022,0.0302608255254494,0.778460414840783,71.79178171229617,0.8560361237385914,4.463547693833692,0.6226415094339622,1.6531658125309967,0.0,5.455447181352289,36.865597619441225,542,132,3,89.60158703918003,0.0227272727272727,55,9.092411968920482,0.0894003791622839,0.4642037291045232,6049
PMC5008364,3,True,0.6730043186441712,0.6546135813843735,38.10754075676181,13.549311678344685,15.49291722461297,17.32902226962089,16.832672695046064,16.57174980813507,59.362463578887215,8.303030303030303,3.229071712081781,1.0046429558603656,0.3621363774976935,0.0568777231566661,5.728511128165772,5.0,3.59902250858978,22.562770562770563,19.0,15.023047204290377,1.723714504988488,1.0,1.0574579714186516,5212,1427,0.2737912509593246,30761,231,148.49579909919606,3.0967499167747417e+64,5.069990040561137e+60,0.0669613621480026,0.1047806155861165,0.0201375245579567,0.0383104125736738,0.0419122462344466,0.0576293385723641,0.0,0.3483955468238376,0.0325802226588081,0.0106417812704649,0.0062213490504256,0.0242305173542894,0.141290111329404,0.0076948264571054,0.0001637197118533,0.0902095612311722,0.0088408644400785,False,1758.0,0.8163064833005894,5.036182056319581,6108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1888452649458413,0.1305655333723164,0.0884637874864255,0.0523487316570601,0.04600005569014,0.0374237741207919,0.0031186478433993,0.0062372956867986,0.0077966196084983,0.0505893909626719,0.8035234964223554,86.64990363709933,0.8735588381546194,1.594896331738437,0.6623376623376623,0.911369332421964,0.0,7.290954659375711,40.5559352927774,372,116,6,84.75734791524266,0.0517241379310344,35,7.974481658692184,0.0627535620547431,0.4385704911886012,4389
PMC5593553,4,True,0.718062009270254,0.7152931836405487,36.0964576796093,13.295120330704794,15.18722279330856,16.895440530437394,16.41353832301018,17.253645338208404,58.65542033889056,7.8059701492537314,3.1618069726015823,0.8789309351954518,0.3563535109394659,0.0582205437468906,5.868007312614259,5.0,3.722816189419304,20.41044776119403,18.0,10.112215670646032,1.773308957952468,1.0,1.1145459317490043,2735,645,0.2358318098720292,16558,134,88.58532194596721,2.9656268071851573e+38,9.16448333493559e+34,0.0516069221260815,0.0979604449938195,0.0117428924598269,0.0324474660074165,0.0426452410383189,0.0772558714462299,0.0,0.3680469715698393,0.0210135970333745,0.0200865265760197,0.0080346106304079,0.0160692212608158,0.1480222496909765,0.0089616810877626,0.0,0.0880716934487021,0.0080346106304079,False,972.0,0.826946847960445,5.116810877626699,3236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5043830074173972,0.4551584625758597,0.4001763576949012,0.3477877483271954,0.3179106800145235,0.2990300326780434,0.0177395093106488,0.0326780434669848,0.0194512163493957,0.0290482076637824,0.6752338530066815,39.75790280498941,0.7715797968064011,0.8707009142359599,0.5298507462686567,0.8707009142359599,0.4353504571179799,8.27165868524162,18.28471919895516,177,79,3,77.05703090988246,0.0379746835443038,38,16.54331737048324,-0.0439021164021164,0.4362007642563196,2297
PMC5095048,5,True,0.6981967770054861,0.680532901870961,30.73758626058256,15.545352368888349,16.950564373366607,19.43285537181319,18.312989428547745,16.180584080931474,64.19580515982501,9.984848484848484,3.6189263042474153,1.20612568909106,0.3660392855463256,0.0514506291722078,5.629127696125215,5.0,3.8661612397983314,26.45959595959596,23.0,15.486256006190668,1.7640771139530445,1.0,1.078021357095255,5239,1306,0.2492842145447604,30606,198,147.21147382424545,8.572959157673295e+63,1.3551943025092153e+60,0.069079987353778,0.1030667088207398,0.0222889661713563,0.0295605437875434,0.0380967435978501,0.0475814100537464,0.0001580777742649,0.3313310148593107,0.0494783433449257,0.0110654441985456,0.0102750553272209,0.0309832437559279,0.1670882073980398,0.0110654441985456,0.0003161555485298,0.074296553904521,0.0042680999051533,False,1661.0,0.7734745494783434,4.838128359152703,6326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2561061103165923,0.1868988530888085,0.1245338044362188,0.0962115476290625,0.0801996578895712,0.0628417599057794,0.0332015366927455,0.0320518213174055,0.0198536216034323,0.0289282326904837,0.7861157024793388,73.55613356606457,0.8561620829755281,1.643578304766377,0.5151515151515151,1.408781404085466,0.704390702042733,11.270251232683728,68.0911011974642,429,152,8,100.72787039211084,0.0526315789473684,39,9.15707912655553,0.0331684248063558,0.4714149707253156,4259
PMC5689618,6,True,0.710373195534458,0.6816067530117074,42.053987561838,12.62981336877014,14.658620424523832,16.16088466574155,15.30929869620779,15.504771456123423,57.200668752107,7.6138211382113825,3.159108959300791,0.9116027320206694,0.3665569707136512,0.0558409953304913,5.562777242044358,5.0,3.46732414724752,21.077235772357724,19.0,10.402378660188248,1.6948891031822566,1.0,1.01000917162017,5185,1179,0.2273866923818708,29974,246,157.0789779360508,1.6539917562433655e+68,2.6212230685314825e+64,0.0610142630744849,0.0969889064976228,0.0174326465927099,0.0377179080824088,0.0381933438985736,0.0578446909667194,0.0,0.3288431061806656,0.0290015847860538,0.0142630744849445,0.0095087163232963,0.0404120443740095,0.1740095087163232,0.0074484944532488,0.0,0.0835182250396196,0.0038034865293185,False,1761.0,0.791283676703645,4.750237717908083,6310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3464438731790917,0.2584975721222508,0.1950585546986575,0.1518423307626392,0.122564981433876,0.1016852327906312,0.0217080834047415,0.0257069408740359,0.0137389317337903,0.023296354992076,0.7582571484147053,61.955790904513165,0.8464937501926075,3.8461538461538463,0.540650406504065,0.6787330316742081,0.6787330316742081,7.918552036199094,35.74660633484163,336,100,5,76.01809954751131,0.05,56,12.669683257918551,0.030571620971621,0.4233853294853296,4420
PMC5746380,7,True,0.7270474878346754,0.7034342733928967,46.53668945572139,12.809747012936882,14.643201746603676,16.409179692500388,16.51286761505633,15.171377347751848,59.52038804741488,8.560553633217992,3.451131776305174,1.1273470739349556,0.3696857187867766,0.0572521705731322,5.474245873648264,5.0,3.401603678325169,24.31833910034602,21.0,13.93692077050062,1.6030165054069436,1.0,0.9507221029757889,7028,1348,0.1918042117245304,39739,289,201.33695085183064,2.751229111186512e+87,3.318332060290088e+83,0.0548787842238572,0.096128331926185,0.0147147509347485,0.0398021951513689,0.0467977324810034,0.0470389579061633,0.0,0.3520685080207454,0.0481244723193824,0.0170063924737667,0.0098902424315522,0.0186949704498854,0.1465444457845857,0.0118200458328307,0.0019298034012784,0.0921481124110481,0.0024122542515981,False,2353.0,0.8009890242431552,4.793028585212881,8291.0,0.0001422272791921,0.0,0.0,0.0,0.0,0.0,0.2384019515535393,0.173243173842335,0.1370795172472823,0.1060087306342549,0.080993751604896,0.0669134640075323,0.0050286741419156,0.0066763673713943,0.0047290935547376,0.0413701604149077,0.7978372959037525,78.18864976531813,0.8724576938030442,3.93028024606972,0.5432525951557093,4.784688995215311,0.5126452494873548,7.006151742993849,63.568010936432,571,150,3,97.57347915242651,0.02,85,14.524948735475052,0.0976036244457297,0.4394216310005783,5852
PMC5762321,8,True,0.6754402696298292,0.6377621462235704,36.83698906356801,14.561413381939698,15.866464191818649,18.040105196041548,17.855736884494533,15.92127722406792,60.97327886311975,9.086124401913876,3.441979236660778,1.07496658252343,0.3760497678036785,0.0562905099625613,5.588962716869694,4.0,3.818598479378121,25.92344497607656,22.0,14.6608835937458,1.6984126984126984,1.0,1.0744873827537484,5418,1209,0.2231450719822812,31188,209,147.46312078400243,1.102604195632592e+64,1.7432477401305807e+60,0.0722529644268774,0.1076679841897233,0.0224505928853754,0.0379446640316205,0.04,0.0539130434782608,0.0,0.3437154150197628,0.0532806324110671,0.0112252964426877,0.0033201581027667,0.0183399209486166,0.1400790513833992,0.003794466403162,0.000790513833992,0.0831620553359683,0.0080632411067193,False,1772.0,0.7829249011857707,4.930909090909091,6325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2242629951003202,0.1751567076341937,0.125037637204719,0.0760408397886842,0.0601100375003421,0.0540333397202529,0.0377740672816357,0.0177921331399009,0.0117428078723346,0.0779446640316205,0.7871111938908549,71.80467485036584,0.8633717612148843,4.0604556733589,0.645933014354067,1.127904353710805,0.0,0.4511617414843221,76.02075344010828,507,88,6,114.36950146627564,0.0681818181818181,37,8.34649221745996,0.092212542546512,0.4950274280426947,4433
PMC5041909,9,True,0.6756913750411169,0.6454368734715181,35.07839414277001,14.423718934309536,15.850824041611226,17.888446884956956,17.781065690461666,16.718150633855327,60.36242966578537,8.772727272727273,3.4542033572926987,1.1718770760581654,0.3553453997102887,0.0531932422420167,5.736763609246831,5.0,3.818796242051002,24.381818181818183,21.0,16.817729723653287,1.737695749440716,1.0,1.1167775095629395,5364,1338,0.2494407158836689,31694,220,149.79586071957434,1.136359435748083e+65,1.815560689803616e+61,0.07013899984023,0.1014539063748202,0.0218884805879533,0.0335516855727752,0.040741332481227,0.0484102891835756,0.0,0.3796133567662565,0.0262022687330244,0.0097459658092347,0.0086275762901421,0.0255631890078287,0.1386803003674708,0.0113436651222239,0.0004793097938967,0.0776481866112797,0.0059114874580603,False,1701.0,0.8317622623422272,5.063748202588273,6259.0,0.0003718854592785,0.0,0.0,0.0,0.0,0.0,0.2493378020433537,0.1928212335801935,0.1398183685604627,0.1162224985134331,0.0960862749337802,0.0863019622682307,0.0202713660197848,0.0147575544624033,0.0130817882047678,0.0367470841987538,0.7834002627134546,74.05298124926185,0.8583100290983987,3.293084522502744,0.509090909090909,1.5367727771679471,0.2195389681668496,6.1470911086717885,30.29637760702525,441,165,10,96.81668496158068,0.0606060606060606,40,8.781558726673985,0.0668403686783133,0.4506602301958034,4555
